bagging_fraction,learning_rate,num_leaves,min_data_in_leaf,brier,elapsed_sec
0.8,0.01,127,400,0.2440068094766712,148.18468976020813
0.8,0.01,127,600,0.24399197559212857,161.35353255271912
0.8,0.01,127,800,0.24400355595191803,166.49526166915894
0.8,0.01,191,400,0.2439894992765313,153.36321544647217
0.8,0.01,191,600,0.24397283143213702,153.55075311660767
0.8,0.01,191,800,0.2439784194559662,169.4700586795807
0.8,0.01,255,400,0.2439607939730966,146.2573103904724
0.8,0.01,255,600,0.24396170938396894,165.7102723121643
0.8,0.01,255,800,0.24395829482896508,143.41179990768433
0.8,0.015,127,400,0.24403570689100076,120.29984974861145
0.8,0.015,127,600,0.2440239569455612,122.1509838104248
0.8,0.015,127,800,0.2440199446169764,126.45354795455933
0.8,0.015,191,400,0.24400507042810415,99.27903079986572
0.8,0.015,191,600,0.24399994477315542,102.02033615112305
0.8,0.015,191,800,0.24399678178706397,104.23052716255188
0.8,0.015,255,400,0.24400123604478977,113.23076391220093
0.8,0.015,255,600,0.2439996534660939,103.0956552028656
0.8,0.015,255,800,0.2439759926391943,112.17956566810608
0.8,0.02,127,400,0.24405207889276045,98.97310996055603
0.8,0.02,127,600,0.24405771841688387,98.93807554244995
0.8,0.02,127,800,0.24404411668245707,108.817063331604
0.8,0.02,191,400,0.2440326202517854,89.55044174194336
0.8,0.02,191,600,0.2440194322939827,92.31587815284729
0.8,0.02,191,800,0.2440146869551561,97.10520911216736
0.8,0.02,255,400,0.24400610791902466,86.18496465682983
0.8,0.02,255,600,0.24402810415654583,90.85607957839966
0.8,0.02,255,800,0.24402967061110256,93.38617634773254
