learning_rate,num_leaves,min_data_in_leaf,bagging_fraction,feature_fraction,lambda_l2,brier,elapsed_sec
0.01,255,800,0.8,0.4,10.0,0.24394460432724366,137.6934244632721
0.01,255,800,0.8,0.4,15.0,0.24394237316956935,136.04646492004395
0.01,255,800,0.8,0.4,20.0,0.24394988312723015,148.01000428199768
0.01,255,800,0.8,0.5,10.0,0.2439378923035689,143.25157690048218
0.01,255,800,0.8,0.5,15.0,0.24394889318373444,153.08303022384644
0.01,255,800,0.8,0.5,20.0,0.2439412245034329,158.39787912368774
0.01,255,800,0.8,0.6,10.0,0.24395202559737567,163.7841100692749
0.01,255,800,0.8,0.6,15.0,0.24394833649693615,169.55524897575378
0.01,255,800,0.8,0.6,20.0,0.243950931377121,172.98113465309143
