iter	Logloss
0	0.6926407793
1	0.6921729061
2	0.6917243114
3	0.6913041047
4	0.6909041297
5	0.6905322781
6	0.6901775863
7	0.6898495878
8	0.6895247671
9	0.6892194367
10	0.6889388399
11	0.6886762504
12	0.6884145083
13	0.6881753284
14	0.6879499188
15	0.6877393918
16	0.6875353791
17	0.6873455076
18	0.6871524582
19	0.6869758274
20	0.6868090476
21	0.6866467166
22	0.6865028168
23	0.6863504958
24	0.6862110448
25	0.6860851523
26	0.6859521098
27	0.6858296069
28	0.6857188617
29	0.6856146839
30	0.6855258653
31	0.6854330216
32	0.6853482282
33	0.6852544311
34	0.6851774232
35	0.6850854798
36	0.6850008453
37	0.6849147808
38	0.6848380377
39	0.6847597057
40	0.6846915426
41	0.6846271929
42	0.6845664446
43	0.6844969574
44	0.6844295358
45	0.6843754078
46	0.6843299128
47	0.6842773737
48	0.6842250465
49	0.6841724015
50	0.6841169494
51	0.6840711366
52	0.6840241587
53	0.6839863962
54	0.6839452441
55	0.6839094942
56	0.6838705666
57	0.6838356112
58	0.6837956772
59	0.6837635818
60	0.6837294737
61	0.6836922939
62	0.6836563851
63	0.6836262493
64	0.6835975964
65	0.6835600458
66	0.6835301748
67	0.6835007275
68	0.683471598
69	0.6834330411
70	0.6834029052
71	0.6833755235
72	0.6833518491
73	0.6833162052
74	0.6832852219
75	0.683255192
76	0.6832279692
77	0.6832007463
78	0.6831773897
79	0.6831491076
80	0.6831225732
81	0.6831016529
82	0.6830789319
83	0.6830590179
84	0.6830359261
85	0.6830121988
86	0.6829844993
87	0.6829618842
88	0.6829404342
89	0.6829204673
90	0.6829015066
91	0.6828822811
92	0.6828570708
93	0.6828333965
94	0.6828118406
95	0.6827939392
96	0.6827751904
97	0.6827574478
98	0.6827356801
99	0.6827192617
100	0.6826990829
101	0.6826806518
102	0.6826578248
103	0.6826404531
104	0.6826251468
105	0.6826065039
106	0.6825910917
107	0.6825724488
108	0.6825567719
109	0.6825412538
110	0.6825209161
111	0.6825054509
112	0.6824886617
113	0.6824691714
114	0.682451217
115	0.6824308264
116	0.6824133487
117	0.682394335
118	0.6823729381
119	0.6823574729
120	0.6823403659
121	0.6823242123
122	0.6823079527
123	0.6822907398
124	0.6822758573
125	0.6822594918
126	0.6822429144
127	0.6822288793
128	0.6822091242
129	0.6821934472
130	0.6821773465
131	0.6821648473
132	0.6821463633
133	0.6821306333
134	0.6821146386
135	0.6821031986
136	0.6820881042
137	0.6820739632
138	0.6820603517
139	0.6820430859
140	0.6820275678
141	0.68201581
142	0.682001563
143	0.6819913942
144	0.6819792657
145	0.6819627413
146	0.6819518839
147	0.6819396495
148	0.6819260381
149	0.6819114204
150	0.6818957964
151	0.681882026
152	0.681870692
153	0.6818565509
154	0.6818426747
155	0.6818309699
156	0.6818161933
157	0.6818021582
158	0.6817902415
159	0.6817773716
160	0.6817647135
161	0.6817518435
162	0.6817389736
163	0.6817280632
164	0.681715617
165	0.6817018467
166	0.6816905126
167	0.6816746238
168	0.6816578876
169	0.6816450176
170	0.6816323595
171	0.6816192247
172	0.6816029122
173	0.6815878178
174	0.6815742593
175	0.6815618131
176	0.6815471424
177	0.6815326835
178	0.6815212436
179	0.681510651
